node_id,closeness
136,0.4927570093457944
195,0.4853482663393679
76,0.4821306103787244
370,0.4798998786407767
140,0.47471488595438177
292,0.47262269365802645
416,0.47191765495636606
1028,0.46880557202133966
458,0.4687361090531931
175,0.4649812596457706
734,0.46440105695830886
353,0.4635164835164835
1139,0.4634146341463415
188,0.461892247043364
241,0.46158896913985553
444,0.4597108188621667
520,0.45867768595041325
478,0.456988082340195
134,0.45613149736861075
273,0.45573723258661675
